"None","Ninguno"
"Enter SKUs below, one per line","Ingrese SKU abajo, uno por línea"
"Assign","Asignar"
"Remove","Eliminar"
"Grid","Parrilla"
"Tile","Mosaico"
"records found","registros encontrados"
"per page","por página"
"Previous page","Página anterior"
"of %1","de %1"
"Next page","Página siguiente"
"Draggable","Arrastrable"
"Close","Cerrar"
"Product image","Imagen del Producto"
"You can create a rule only to the existing categories.","Puede crear una regla sólo a las categorías existentes."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Sólo productos en coincidencia con la regla estará presentes en la categoría después guardar. Se removerá de la categoría los productos sin coincidencia y el ordenado manual."
"Attribute","Atributo"
"Operator","Operador"
"Value","Valor"
"Logic","Lógica"
"Add Condition","Agregar condición"
"Delete","Borrar"
"Match products by rule","Coincidir productos por regla"
"Yes","Sí"
"No","No"
"Add Products","Añadir productos"
"Save and Close","Guardar y Cerrar"
"On","En"
"Off","Apagado"
"Visual Merchandiser Options","Opciones de Visual Merchandiser"
"Visual Merchandiser","Visual Merchandiser"
"General Options","Opciones generales"
"Visible Attributes for Category Rules","Atributos visibles para las reglas de la categoría"
"Additional attributes usable in category rules","Atributos adicionales útiles en reglas de categoría"
"Minimum Stock Threshold","Umbral mínimo de Stock"
"Determines which products are 'low stock'","Determina que los productos estan en 'stock bajo'"
"Color Attribute Code","Código del atributo color"
"Color Order","Orden de color"
"Each color being on a separate row.","Cada color en una fila separada."
"Sort","Ordenar"
"Automatic Sorting","Ordenación automática"
"Sort order","Orden de organización"
"Thumbnail","Miniatura"
"Name","Nombre"
"Price","Precio"
"SKU","SKU"
"Stock","Stock"
"The consumer isn't authorized to access %resources.","The consumer isn't authorized to access %resources."
"Operation allowed only in HTTPS","Operación permitida solamente en HTTPS"
"Cannot perform GET operation with store code 'all'","No se puede realizar la operación GET con el código de tienda 'all'"
"Specified request cannot be processed.","Specified request cannot be processed."
"Request does not match any route.","Solicitud no coincide con ninguna ruta."
"Not allowed parameters: %1. Please use only %2 and %3.","No se permiten parámetros: %1. Por favor use solamente %2 y %3."
"Requested service is not available: ""%1""","El servicio solicitado no está disponible: ""%1"""
"Operation ""%1"" not found.","Operación ""%1"" no encontrada."
"SOAP extension is not loaded.","La extensión SOAP no ha sido cargada."
"Invalid XML","XML no válido"
"Invalid XML: Detected use of illegal DOCTYPE","XML no válido: Detectado uso de DOCTYPE ilegal"
"message","mensaje"
"Message","Mensaje"
"Soap fault reason.","Razón de falla SOAP."
"Manage Customers","Administrar clientes"
"Create Customer","Crear cliente"
"Edit Customer","Editar cliente"
"Get Customer","Obtener cliente"
"Delete Customer","Eliminar cliente"
"Magento Web API","Magento Web API"
"SOAP Settings","Ajustes SOAP"
"Default Response Charset","Conjunto de caracteres de respuesta (predeterminado)"
"If empty, UTF-8 will be used.","Si está vacío, se utilizará UTF-8."
"Web Services Configuration","Ajustes de servicios web"
"REST and SOAP configurations, generated WSDL file","Ajustes REST y SOAP, archivo WSDL generado"
"WebapiAsync config for ""%topicName"" does not exist.","WebapiAsync config for ""%topicName"" does not exist."
"Web API Security","Web API Security"
"Allow Anonymous Guest Access","Permitir acceso a visitante anónimo"
"503 Service Unavailable","503 Servicio no disponible"
"200 OK","200 OK"
"Website Closed","Sitio web cerrado"
"Private Sales: Login Only","Ventas privadas: Inicio de sesión sólo"
"Private Sales: Login and Register","Ventas privadas: Inicio de sesión y registro"
"To login form (302 Found)","A formulario de login (302 Found)"
"To landing page (302 Found)","A la página de aterrizaje (302 Found)"
"Can not register new customer due to restrictions are enabled.","No se puede registrar un cliente nuevo debido a que las restricciones están habilitadas."
"Access Restriction","Restricción de acceso"
"Restriction Mode","Modo de restricción"
"Startup Page","Página de inicio"
"Applicable only if restriction mode is set to ""Private Sales"".","Aplicable sólo si el modo de restricción se establece en ""Ventas privadas""."
"Landing Page","Página de destino"
"HTTP Response","Respuesta HTTP"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Aplicable sólo si el modo de restricción está configurado como ""Página web cerrada"". La página de inicio se representa como HTML crudo."
"Add Tax","Añadir impuestos"
"Delete Tax","Eliminar impuesto"
"All Websites","Todos sitios web"
"FPT","FPT"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
"Including FPT only","Includir sólo FPT"
"Including FPT and FPT description","Includir impuestos y descripción de los impuestos"
"Excluding FPT. Including FPT description and final price","Excluyendo el FPT. Incluyendo Descripción de FPT y el precio final"
"Excluding FPT","Excluido FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Impuesto fijo del artículo"
"Country/State","País/Estado federado"
"Tax","Impuestos"
"Website","Página web"
"Action","Acción"
"Excl. Tax","Impuestos NO Incl."
"Total","Total"
"Incl. Tax","Impuestos incl."
"Total Incl. Tax","Total con impuestos incluidos"
"Final Price","Precio final"
"Fixed Product Taxes","Impuestos fijos del artículo"
"Enable FPT","Habilitar FPT"
"Display Prices In Product Lists","Mostrar precios en listas de artículos"
"Display Prices On Product View Page","Mostrar precios en la página de vista preliminar del artículo"
"Display Prices In Sales Modules","Mostrar precios en módulos de ventas"
"Display Prices In Emails","Mostrar precios en el correo electrónico"
"Apply Tax To FPT","Aplicar impuesto a FPT"
"Include FPT In Subtotal","Includir impuestos en el subtotal"
"Widget Insertion","Inserción del widget"
"Insert Widget","Insertar aplicación"
"Cancel","Cancelar"
"label","etiqueta"
"Choose...","Elegir..."
"Close","Cerrar"
"Not Selected","No seleccionado"
"Inserting a widget does not create a widget instance.","Inserting a widget does not create a widget instance."
"Widget Type","Tipo de aplicación"
"-- Please Select --","-- Por Favor Seleccione --"
"Manage Widget Instances","Administrar instancias de aplicación"
"Add Widget","Añadir Widget"
"Save and Continue Edit","Guardar y continuar editando"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nueva instancia de aplicación"
"Custom Layouts","Layouts personalizados"
"Page Layouts","Diseños de página"
"Please Select Container First","Por favor, primero seleccione el contenedor"
"Storefront Properties","Propiedades de la tienda"
"Type","Tipo"
"Design Package/Theme","Diseñar paquete/tema"
"Widget Title","Título del widget"
"Assign to Store Views","Asignar a vistas de tienda"
"Sort Order","Orden de aparición"
"Sort Order of widget instances in the same container","Orden de las instancias de widget dentro de un mismo contenedor"
"Layout Updates","Actualizaciones de diseño"
"Categories","Categorías"
"Anchor Categories","Categorías de ancla"
"Non-Anchor Categories","Categorías no de ancla"
"All Product Types","Todos los tipos de artículos"
"Products","Productos"
"Generic Pages","Páginas genéricas"
"All Pages","Todas las páginas"
"Specified Page","Página especificada"
"Add Layout Update","Agregar actualización de diseño"
"Remove Layout Update","Eliminar actualización de diseño"
"Widget Options","Opciones de aplicación"
"Settings","Ajustes"
"Design Theme","Tema del diseño"
"Continue","Continuar"
"Widget","Aplicación"
"Please specify a Widget Type.","Por favor especifique un tipo de Widget."
"CMS","CMS"
"Please specify a correct widget.","Por favor especifique un widget correcto."
"The widget instance has been deleted.","Se eliminó la instancia de aplicación."
"New Widget","Nuevo Widget"
"Widgets","Aplicaciones"
"The widget instance has been saved.","Se guardó la instancia de aplicación."
"name","nombre"
"description","descripción"
"We cannot create the widget instance because it is missing required information.","Nosotros no podemos crear la instancia del widget porque falta información requerida."
"None","Ninguno"
"%1","%1"
"Container","Contenedor"
"Template","Plantilla"
"All","Todo"
"Specific %1","%1 específico"
"Open Chooser","Abrir el buscador"
"Apply","Aplicar"
"Page","Página"
"Orders and Returns","Pedidos y Devoluciones"
"Orders and Returns Search Form","Buscador de Pedidos y Devoluciones"
"Anchor Custom Title","Anclar título personalizado"
"CMS Page Link Block Template","Plantilla en bloque de la página de enlaces del CMS"
"CMS Page Link Inline Template","Plantilla en línea de la página de enlaces del CMS"
"Display a Link to Loading a Spreadsheet","Mostrar un enlace para cargar una hoja de cálculo"
"Defines whether a link to My Account","Define si un hay enlace a mi cuenta"
"Link Text","Texto del enlace"
"The text of the link to the My Account &gt; Order by SKU page","El texto del enlace a mi cuenta &gt; comprar por página SKU"
"Load a list of SKUs","Cargar una lista de SKU"
"Product","Producto"
"Select Product...","Seleccionar artículo..."
"Conditions","Condiciones"
"Widget ID","ID de aplicación"
"Wish List","Lista de deseos"
"Wish List Sharing","Compartir lista de deseos"
"My Wish List","Mi lista de deseos"
"%1's Wish List","Lista de deseos de %1"
"Page not found.","Página no encontrada."
"We can't specify a product.","No podemos especificar un producto."
"We can't add the item to Wish List right now: %1.","No se puede añadir el elemento a lista de deseos ahora mismo: %1."
"We can't add the item to Wish List right now.","No se puede añadir el elemento a lista de deseos ahora mismo."
"You added %1 to your shopping cart.","Añadiste %1 a tu cesta."
"This product(s) is out of stock.","Este producto está fuera de stock."
"We can't add the item to the cart right now.","No se puede añadir el producto al carrito de compras ahora mismo."
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"We can't configure the product right now.","No se puede configurar el artículo ahora mismo."
"The cart item doesn't exist.","The cart item doesn't exist."
"%1 has been moved to your wish list.","%1 se ha movido a su lista de deseos."
"We can't move the item to the wish list.","No podemos mover el elemento a la lista de deseos."
"You must login or register to add items to your wishlist.","Debes iniciar sesión o registrarte para agregar elementos a tu lista de deseos."
"We can't delete the item from Wish List right now because of an error: %1.","No podemos eliminar el elemento de lista de deseos en este momento debido a un error: %1."
"We can't delete the item from the Wish List right now.","No podemos eliminar el elemento de la lista de deseos en este momento."
